ano,cidade,foto_url,km,link,loja,preco,titulo
2021,Campinas,https://www.comprecar.com.br/storage/vehicles/thumb/25c4d414-2275-42f6-a160-09d72db9f62c.webp,KM 86.532,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/campinas/civic-20-16v-flexone-ex-cvt-2298628,Junior Veículos Campinas,"R$124.990,00",Honda CIVIC 2.0 16V FLEXONE EX CVT 4 portas 2021 Junior Veículos Campinas Campinas
2011,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/0b4358f0-5a4b-4fdd-abf7-4468285a213c.webp,KM 119.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/fox-10-mi-8v-2299097,Uzi Automóveis,"R$31.999,00",Volkswagen FOX 1.0 MI 8V 4 portas 2011 Uzi Automóveis Sorocaba
2015,Votorantim,https://www.comprecar.com.br/storage/vehicles/thumb/8dc423dd-1e89-4ddd-9c1f-4d1244f60b48.webp,KM 160.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/votorantim/up-10-mpi-take-up-12v-2299091,Platinum Veiculos,"R$41.900,00",Volkswagen UP 1.0 MPI Take UP 12V 4 portas 2015 Platinum Veiculos Votorantim
2014,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/d959ed0d-f6f4-44d6-b778-85e82ba2615c.webp,KM 179.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/sandero-10-authentique-16v-2299079,Uzi Automóveis,"R$33.999,00",Renault SANDERO 1.0 Authentique 16V 4 portas 2014 Uzi Automóveis Sorocaba
2012,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/036d735f-7d44-4cb6-ab7e-03734e665179.webp,KM 112.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/c3-14-i-exclusive-8v-2299053,Uzi Automóveis,"R$28.999,00",CITROEN C3 1.4 I Exclusive 8V 4 portas 2012 Uzi Automóveis Sorocaba
2019,Paulo,https://www.comprecar.com.br/storage/vehicles/thumb/990e9327-c1a9-4e93-84c5-d6642059e40d.webp,KM 40.778,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sao-paulo/tiguan-20-350-tsi-allspace-r-line-4motion-dsg-2295783,Tsusho Auto São,"R$152.800,00",Volkswagen TIGUAN 2.0 350 TSI ALLSPACE R-LINE 4MOTION DSG 4 portas 2019 Tsusho Auto São Paulo
2014,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/73d50163-16f4-4360-bb9a-265f98777cc2.webp,KM 124.080,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/cruze-18-ltz-16v-flex-4p-automatico-2267682,Espanha Multimarcas 01,"R$72.900,00",CHEVROLET Cruze 1.8 Ltz 16V Flex 4P Automático 4 portas 2014 Espanha Multimarcas 01 Sorocaba
2014,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/d71b2997-2ab9-47bc-9f7f-52409d4a9762.webp,KM 108.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/corolla-20-altis-16v-2280827,Dias Multimarcas,"R$74.900,00",Toyota COROLLA 2.0 Altis 16V 4 portas 2014 Dias Multimarcas Sorocaba
2023,Itu,https://www.comprecar.com.br/storage/vehicles/thumb/eb63cb0a-7808-4626-ba55-2a3689de8276.webp,KM 66.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/itu/mobi-10-8v-like-2299013,Chimini Multimarcas,"R$53.900,00",Fiat MOBI 1.0 8V Like 4 portas 2023 Chimini Multimarcas Itu
2017,Itu,https://www.comprecar.com.br/storage/vehicles/thumb/313c3a31-24d8-4c43-a3e6-0ef79c5d2557.webp,KM 155.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/itu/duster-oroch-16-16v-expression-2298975,Chimini Multimarcas,"R$67.900,00",Renault DUSTER OROCH 1.6 16V Expression 4 portas 2017 Chimini Multimarcas Itu
2012,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/81ade02e-3b98-4a6c-8da2-59a07dbc7ed4.webp,KM 120.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/voyage-10-mi-city-8v-2298937,Norte Veículos,"R$35.900,00",Volkswagen VOYAGE 1.0 MI City 8V 4 portas 2012 Norte Veículos Sorocaba
2003,Itu,https://www.comprecar.com.br/storage/vehicles/thumb/ec748f5b-ba82-444b-a6d0-512871c33a41.webp,KM 220.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/itu/palio-16-mpi-adventure-weekend-16v-2298904,Santa Cruz Multimarcas,"R$22.900,00",Fiat PALIO 1.6 MPI Adventure Weekend 16V 4 portas 2003 Santa Cruz Multimarcas Itu
2019,Itu,https://www.comprecar.com.br/storage/vehicles/thumb/1f1325c3-4f0e-430d-afa2-49f12177aa77.webp,KM 100.541,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/itu/yaris-15-16v-xs-2298886,Santa Cruz Multimarcas,"R$80.900,00",Toyota YARIS 1.5 16V XS 4 portas 2019 Santa Cruz Multimarcas Itu
2019,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/8db80a58-a6e4-45c7-9522-652ab353aba8.webp,KM 135.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/creta-16-16v-pulse-plus-2298881,M Fernandes Automarcas,"R$84.900,00",Hyundai CRETA 1.6 16V Pulse Plus 4 portas 2019 M Fernandes Automarcas Sorocaba
2013,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/dc0dc2cb-5be4-4bbc-8a0e-795c8322ea77.webp,KM N/D,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/tucson-20-mpfi-gls-4x2-16v-143cv-2wd-2292470,Mega Veículos,"R$50.000,00",Hyundai TUCSON 2.0 MPFI GLS 4X2 16V 143cv 2WD 4 portas 2013 Mega Veículos Sorocaba
2023,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/3dbd1b09-9a16-4352-9cb3-b7d83047b174.webp,KM 45.587,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/strada-13-firefly-flex-freedom-cd-manual-2290523,GC Veículos Sorocaba,"R$100.990,00",Fiat STRADA 1.3 FIREFLY FLEX FREEDOM CD MANUAL 4 portas 2023 GC Veículos Sorocaba Sorocaba
2020,Indaiatuba,https://www.comprecar.com.br/storage/vehicles/thumb/cfcf7a02-d1f1-4746-82d3-e7681fe3154b.webp,KM 50.175,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/indaiatuba/t-cross-10-200-tsi-total-automatico-2240328,Renova Automoveis,"R$89.900,00",Volkswagen T-CROSS - 1.0 200 TSI TOTAL AUTOMÁTICO 4 portas 2020 Renova Automoveis Indaiatuba
2012,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/2d7836f1-0d88-48e7-a611-d04d620f7e08.webp,KM 145.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/celta-10-mpfi-ls-8v-2298834,M Fernandes Automarcas,"R$23.900,00",CHEVROLET CELTA 1.0 MPFI LS 8V 2 portas 2012 M Fernandes Automarcas Sorocaba
2015,Jundiaí,https://www.comprecar.com.br/storage/vehicles/thumb/69628d01-2500-4223-a366-44bacc9e01fd.webp,KM 162.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/jundiai/montana-14-mpfi-ls-cs-8v-flex-2p-manual-2298759,Automóveis Bom Jesus,"R$48.900,00",CHEVROLET Montana 1.4 Mpfi Ls Cs 8V Flex 2P Manual 2 portas 2015 Automóveis Bom Jesus Jundiaí
2009,Jundiaí,https://www.comprecar.com.br/storage/vehicles/thumb/e0639f16-bc34-4b9e-bb3c-3484c4561c65.webp,KM 169.135,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/jundiai/voyage-10-12v-mpi-totalflex-2298731,Inter Auto Multimarcas,"R$19.900,00",Volkswagen VOYAGE 1.0 12V MPI Totalflex 4 portas 2009 Inter Auto Multimarcas Jundiaí
2008,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/55cfb337-275d-4bbe-8ba1-ca85b27c13bb.webp,KM 163.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/sentra-20-sl-16v-2298711,Gazeta Veículos,"R$25.900,00",NISSAN SENTRA 2.0 SL 16V 4 portas 2008 Gazeta Veículos Sorocaba
2025,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/18bd81da-38e6-4647-8666-18c9a7da7502.webp,KM 12.731,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/pulse-10-turbo-200-hybrid-audace-2298624,Mega Veículos,"R$115.990,00",Fiat PULSE 1.0 Turbo 200 Hybrid Audace 4 portas 2025 Mega Veículos Sorocaba
2013,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/8e2c9288-ed15-4ffc-86e2-45780df79b18.webp,KM 166.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/ranger-32-xlt-4x4-cd-16v-2298519,Renan,"R$95.900,00",FORD RANGER 3.2 XLT 4X4 CD 16V 4 portas 2013 Renan Sorocaba
2015,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/69b851e1-49c3-4c53-992d-3c0d4c712ad2.webp,KM 129.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/cobalt-14-lt-8v-2286988,Vimar Veiculos,"R$44.900,00",CHEVROLET COBALT 1.4 LT 8V 4 portas 2015 Vimar Veiculos Sorocaba
2018,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/236a18ef-bea6-470a-90ac-9e81d5bc385b.webp,KM 87.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/onix-14-mpfi-activ-8v-flex-4p-automatico-2298406,Malentachi Veículos,"R$66.900,00",CHEVROLET ONIX 1.4 MPFI ACTIV 8V FLEX 4P AUTOMÁTICO 4 portas 2018 Malentachi Veículos Sorocaba
2025,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/177c6c4e-a34f-46be-ab50-5c9d8ac86f3f.webp,KM 46.754,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/mobi-10-evo-flex-like-manual-2288887,Localiza General,"R$59.590,00",Fiat MOBI 1.0 EVO FLEX LIKE. MANUAL 4 portas 2025 Localiza General Sorocaba
2014,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/eebe9d6f-6754-4b94-a586-a878d0d1e712.webp,KM 184.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/saveiro-16-cross-ce-8v-2298508,Alemão Multimarcas,"R$59.900,00",Volkswagen SAVEIRO 1.6 Cross CE 8V 2 portas 2014 Alemão Multimarcas Sorocaba
2019,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/1e4c195e-0ddf-49e1-82d0-0742aaccab07.webp,KM 93.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/onix-14-mpfi-activ-8v-2298507,Alemão Multimarcas,"R$69.900,00",CHEVROLET ONIX 1.4 MPFI Activ 8V 4 portas 2019 Alemão Multimarcas Sorocaba
2015,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/51e9d082-8627-45bd-a67b-42ada808c05b.webp,KM 162.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/hb20-10-12v-comfort-2298498,Alemão Multimarcas,"R$39.900,00",Hyundai HB20 1.0 12V Comfort 4 portas 2015 Alemão Multimarcas Sorocaba
2021,Americana,https://www.comprecar.com.br/storage/vehicles/thumb/fc773a77-1610-43ed-a50e-f67b610b0aea.webp,KM 46.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/americana/hr-v-18-16v-ex-2298471,Coqueiro Multimarcas,"R$118.900,00",Honda HR-V 1.8 16V EX 4 portas 2021 Coqueiro Multimarcas Americana
2025,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/fb6f7297-3dcb-4779-aa59-e777281624b6.webp,KM 38.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/polo-hatch-10-4p-mpi-track-2298454,Up Prime Veículos,"R$79.900,00",Volkswagen Polo Hatch 1.0 4P MPI TRACK 4 portas 2025 Up Prime Veículos Sorocaba
2017,Itu,https://www.comprecar.com.br/storage/vehicles/thumb/1b204c80-967b-4aff-b74e-9033a8b348ad.webp,KM 99.033,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/itu/vitara-16-16v-4you-2297580,Novo Centro Multimarcas,"R$79.500,00",SUZUKI VITARA 1.6 16V 4you 4 portas 2017 Novo Centro Multimarcas Itu
2013,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/fa2f6533-b5c2-4a14-b0ab-00233c5f3fe2.webp,KM 139.547,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/c3-16-exclusive-16v-flex-4p-automatico-2281043,ZN Multimarcas,"R$39.990,00",CITROEN C3 1.6 EXCLUSIVE 16V FLEX 4P AUTOMÁTICO 4 portas 2013 ZN Multimarcas Sorocaba
2018,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/d454a8e4-9ef9-4fad-9724-0a16cd931f5d.webp,KM 146.728,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/city-15-ex-16v-flex-4p-automatico-2259038,Espanha Multimarcas 01,"R$79.900,00",Honda City 1.5 Ex 16V Flex 4P Automático 4 portas 2018 Espanha Multimarcas 01 Sorocaba
2024,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/4957af2f-ca17-493b-ac2f-c741943ad156.webp,KM 31.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/cronos-10-firefly-drive-2280777,Dias Multimarcas,"R$77.900,00",Fiat CRONOS 1.0 Firefly Drive 4 portas 2024 Dias Multimarcas Sorocaba
2024,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/c446c0f3-be60-436f-a359-683299696c34.webp,KM 42.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/strada-13-firefly-endurance-cs-2298352,Della Automóveis,"R$86.890,00",Fiat STRADA 1.3 Firefly Endurance CS 2 portas 2024 Della Automóveis Sorocaba
2022,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/837ca43c-032c-409d-aed0-6037e26406f5.webp,KM 140.720,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/kwid-10-12v-sce-flex-zen-manual-2298314,Renova Veículos Sorocaba,"R$42.990,00",Renault KWID 1.0 12V SCE FLEX ZEN MANUAL 4 portas 2022 Renova Veículos Sorocaba Sorocaba
2013,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/1956e84b-610b-4485-86e7-f81075183034.webp,KM 187.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/ranger-25-limited-4x2-cd-16v-flex-4p-manual-2298276,Renova Veículos Sorocaba,"R$91.990,00",FORD RANGER 2.5 LIMITED 4X2 CD 16V FLEX 4P MANUAL 4 portas 2013 Renova Veículos Sorocaba Sorocaba
2013,Vinhedo,https://www.comprecar.com.br/storage/vehicles/thumb/134bc7ae-4ed8-41f7-b7db-3d9981ea8592.webp,KM 115.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/vinhedo/onix-10-lt-2298241,Binho Car Veículos,"R$42.990,00",CHEVROLET ONIX 1.0 LT 4 portas 2013 Binho Car Veículos Vinhedo
2017,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/deb6f393-e7de-4cdf-b00c-1383889ff82d.webp,KM 99.661,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/hb20-16-r-spec-16v-2298230,Thijuca Veículos,"R$63.990,00",Hyundai HB20 1.6 R Spec 16V 4 portas 2017 Thijuca Veículos Sorocaba
2024,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/cba37de7-15d5-4c0a-8cb5-bd7f46685158.webp,KM 55.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/mobi-10-8v-evo-like-2298225,Holiver Veículos,"R$57.900,00",Fiat MOBI 1.0 8V EVO Like. 4 portas 2024 Holiver Veículos Sorocaba
2009,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/abca214f-3fb5-4ecd-a293-46f4153e810b.webp,KM 160.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/polo-16-mi-8v-e-2298157,Vimar Veiculos,"R$30.900,00",Volkswagen POLO 1.6 MI 8V E 4 portas 2009 Vimar Veiculos Sorocaba
2023,Feliz,https://www.comprecar.com.br/storage/vehicles/thumb/b16a8fc1-4df4-4242-8ddd-fee5a5beae61.webp,KM 51.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/porto-feliz/fastback-13-turbo-270-limited-edition-2297423,Abel Porto,"R$108.000,00",Fiat FASTBACK 1.3 Turbo 270 Limited Edition 4 portas 2023 Abel Porto Feliz
2013,Sorocaba,https://www.comprecar.com.br/storage/vehicles/thumb/9939cae5-6ca5-4f89-96a9-ed1c12331494.webp,KM 110.000,https://www.comprecar.com.brhttps://www.comprecar.com.br/carros-usados/sorocaba/c3-12-tendance-8v-2230328,Vimar Veiculos,"R$36.900,00",CITROEN C3 1.2 Tendance 8V 4 portas 2013 Vimar Veiculos Sorocaba
